"state","scenario","year_offset","net_stock_Tg"
"AL","reserve (no harvest)",0,353.408
"AL","reserve (no harvest)",10,438.356
"AL","reserve (no harvest)",20,501.652
"AL","reserve (no harvest)",30,546.083
"AL","reserve (no harvest)",40,572.751
"AL","reserve (no harvest)",50,585.613
"AL","reserve (no harvest)",60,586.706
"AL","reserve (no harvest)",70,579.307
"AL","reserve (no harvest)",80,564.651
"AL","reserve (no harvest)",90,542.715
"AL","reserve (no harvest)",100,517.056
"AR","reserve (no harvest)",0,333.03
"AR","reserve (no harvest)",10,384.115
"AR","reserve (no harvest)",20,423.148
"AR","reserve (no harvest)",30,446.615
"AR","reserve (no harvest)",40,452.595
"AR","reserve (no harvest)",50,444.627
"AR","reserve (no harvest)",60,429.575
"AR","reserve (no harvest)",70,413.634
"AR","reserve (no harvest)",80,395.76
"AR","reserve (no harvest)",90,373.237
"AR","reserve (no harvest)",100,354.559
"AZ","reserve (no harvest)",0,100.782
"AZ","reserve (no harvest)",10,105.713
"AZ","reserve (no harvest)",20,109.718
"AZ","reserve (no harvest)",30,112.806
"AZ","reserve (no harvest)",40,115.138
"AZ","reserve (no harvest)",50,116.84
"AZ","reserve (no harvest)",60,118
"AZ","reserve (no harvest)",70,118.752
"AZ","reserve (no harvest)",80,119.178
"AZ","reserve (no harvest)",90,119.321
"AZ","reserve (no harvest)",100,119.251
"CA","reserve (no harvest)",0,525.415
"CA","reserve (no harvest)",10,557.295
"CA","reserve (no harvest)",20,583.576
"CA","reserve (no harvest)",30,604.772
"CA","reserve (no harvest)",40,621.793
"CA","reserve (no harvest)",50,635.333
"CA","reserve (no harvest)",60,646.596
"CA","reserve (no harvest)",70,655.704
"CA","reserve (no harvest)",80,663.035
"CA","reserve (no harvest)",90,668.94
"CA","reserve (no harvest)",100,673.169
"CO","reserve (no harvest)",0,241.696
"CO","reserve (no harvest)",10,256.708
"CO","reserve (no harvest)",20,269.842
"CO","reserve (no harvest)",30,280.406
"CO","reserve (no harvest)",40,287.492
"CO","reserve (no harvest)",50,290.833
"CO","reserve (no harvest)",60,291.735
"CO","reserve (no harvest)",70,290.136
"CO","reserve (no harvest)",80,287.39
"CO","reserve (no harvest)",90,283.972
"CO","reserve (no harvest)",100,280.034
"CT","reserve (no harvest)",0,27.85
"CT","reserve (no harvest)",10,28.81
"CT","reserve (no harvest)",20,29.354
"CT","reserve (no harvest)",30,29.542
"CT","reserve (no harvest)",40,29.44
"CT","reserve (no harvest)",50,29.26
"CT","reserve (no harvest)",60,29.017
"CT","reserve (no harvest)",70,28.753
"CT","reserve (no harvest)",80,28.481
"CT","reserve (no harvest)",90,28.209
"CT","reserve (no harvest)",100,27.944
"DE","reserve (no harvest)",0,13.337
"DE","reserve (no harvest)",10,14.367
"DE","reserve (no harvest)",20,15.283
"DE","reserve (no harvest)",30,16.127
"DE","reserve (no harvest)",40,16.898
"DE","reserve (no harvest)",50,17.607
"DE","reserve (no harvest)",60,18.267
"DE","reserve (no harvest)",70,18.881
"DE","reserve (no harvest)",80,19.428
"DE","reserve (no harvest)",90,19.943
"DE","reserve (no harvest)",100,20.428
"FL","reserve (no harvest)",0,165.378
"FL","reserve (no harvest)",10,190.846
"FL","reserve (no harvest)",20,206.142
"FL","reserve (no harvest)",30,209.354
"FL","reserve (no harvest)",40,208.817
"FL","reserve (no harvest)",50,205.457
"FL","reserve (no harvest)",60,195.735
"FL","reserve (no harvest)",70,179.231
"FL","reserve (no harvest)",80,165.104
"FL","reserve (no harvest)",90,155.142
"FL","reserve (no harvest)",100,147.647
"GA","reserve (no harvest)",0,266.527
"GA","reserve (no harvest)",10,330.298
"GA","reserve (no harvest)",20,380.944
"GA","reserve (no harvest)",30,417.569
"GA","reserve (no harvest)",40,440.833
"GA","reserve (no harvest)",50,447.82
"GA","reserve (no harvest)",60,434.739
"GA","reserve (no harvest)",70,408.842
"GA","reserve (no harvest)",80,375.455
"GA","reserve (no harvest)",90,342.997
"GA","reserve (no harvest)",100,315.71
"IA","reserve (no harvest)",0,39.798
"IA","reserve (no harvest)",10,43.031
"IA","reserve (no harvest)",20,44.989
"IA","reserve (no harvest)",30,45.544
"IA","reserve (no harvest)",40,44.766
"IA","reserve (no harvest)",50,43.046
"IA","reserve (no harvest)",60,40.742
"IA","reserve (no harvest)",70,37.97
"IA","reserve (no harvest)",80,35.067
"IA","reserve (no harvest)",90,32.184
"IA","reserve (no harvest)",100,29.613
"ID","reserve (no harvest)",0,299.187
"ID","reserve (no harvest)",10,325.053
"ID","reserve (no harvest)",20,347.651
"ID","reserve (no harvest)",30,365.776
"ID","reserve (no harvest)",40,378.389
"ID","reserve (no harvest)",50,385.737
"ID","reserve (no harvest)",60,388.764
"ID","reserve (no harvest)",70,386.85
"ID","reserve (no harvest)",80,381.993
"ID","reserve (no harvest)",90,374.191
"ID","reserve (no harvest)",100,363.294
"IL","reserve (no harvest)",0,82.199
"IL","reserve (no harvest)",10,88.727
"IL","reserve (no harvest)",20,92.166
"IL","reserve (no harvest)",30,92.066
"IL","reserve (no harvest)",40,88.383
"IL","reserve (no harvest)",50,84.078
"IL","reserve (no harvest)",60,79.487
"IL","reserve (no harvest)",70,74.97
"IL","reserve (no harvest)",80,70.447
"IL","reserve (no harvest)",90,66.286
"IL","reserve (no harvest)",100,62.5
"IN","reserve (no harvest)",0,110.811
"IN","reserve (no harvest)",10,119.858
"IN","reserve (no harvest)",20,126.615
"IN","reserve (no harvest)",30,131.823
"IN","reserve (no harvest)",40,134.489
"IN","reserve (no harvest)",50,133.518
"IN","reserve (no harvest)",60,129.119
"IN","reserve (no harvest)",70,122.931
"IN","reserve (no harvest)",80,116.092
"IN","reserve (no harvest)",90,108.963
"IN","reserve (no harvest)",100,102.105
"KS","reserve (no harvest)",0,10.974
"KS","reserve (no harvest)",10,11.519
"KS","reserve (no harvest)",20,11.847
"KS","reserve (no harvest)",30,12.059
"KS","reserve (no harvest)",40,12.164
"KS","reserve (no harvest)",50,12.159
"KS","reserve (no harvest)",60,11.875
"KS","reserve (no harvest)",70,11.079
"KS","reserve (no harvest)",80,10.249
"KS","reserve (no harvest)",90,9.306
"KS","reserve (no harvest)",100,8.365
"KY","reserve (no harvest)",0,265.042
"KY","reserve (no harvest)",10,291.657
"KY","reserve (no harvest)",20,307.777
"KY","reserve (no harvest)",30,311.195
"KY","reserve (no harvest)",40,303.402
"KY","reserve (no harvest)",50,290.017
"KY","reserve (no harvest)",60,274.477
"KY","reserve (no harvest)",70,258.499
"KY","reserve (no harvest)",80,243.231
"KY","reserve (no harvest)",90,229.138
"KY","reserve (no harvest)",100,216.219
"LA","reserve (no harvest)",0,217.564
"LA","reserve (no harvest)",10,262.873
"LA","reserve (no harvest)",20,300.525
"LA","reserve (no harvest)",30,329.71
"LA","reserve (no harvest)",40,350.064
"LA","reserve (no harvest)",50,361.096
"LA","reserve (no harvest)",60,362.413
"LA","reserve (no harvest)",70,356.406
"LA","reserve (no harvest)",80,343.615
"LA","reserve (no harvest)",90,322.28
"LA","reserve (no harvest)",100,300.593
"MA","reserve (no harvest)",0,52.864
"MA","reserve (no harvest)",10,56.684
"MA","reserve (no harvest)",20,59.436
"MA","reserve (no harvest)",30,61.121
"MA","reserve (no harvest)",40,62.118
"MA","reserve (no harvest)",50,62.636
"MA","reserve (no harvest)",60,62.834
"MA","reserve (no harvest)",70,62.609
"MA","reserve (no harvest)",80,62
"MA","reserve (no harvest)",90,61.125
"MA","reserve (no harvest)",100,59.935
"MD","reserve (no harvest)",0,44.108
"MD","reserve (no harvest)",10,47.109
"MD","reserve (no harvest)",20,48.918
"MD","reserve (no harvest)",30,49.837
"MD","reserve (no harvest)",40,50.027
"MD","reserve (no harvest)",50,49.239
"MD","reserve (no harvest)",60,46.843
"MD","reserve (no harvest)",70,42.784
"MD","reserve (no harvest)",80,39.505
"MD","reserve (no harvest)",90,36.773
"MD","reserve (no harvest)",100,34.467
"ME","reserve (no harvest)",0,271.884
"ME","reserve (no harvest)",10,296.959
"ME","reserve (no harvest)",20,314.829
"ME","reserve (no harvest)",30,328.334
"ME","reserve (no harvest)",40,338.579
"ME","reserve (no harvest)",50,345.742
"ME","reserve (no harvest)",60,350.234
"ME","reserve (no harvest)",70,353.564
"ME","reserve (no harvest)",80,355.681
"ME","reserve (no harvest)",90,356.99
"ME","reserve (no harvest)",100,357.349
"MI","reserve (no harvest)",0,327.261
"MI","reserve (no harvest)",10,357.964
"MI","reserve (no harvest)",20,381.343
"MI","reserve (no harvest)",30,397.485
"MI","reserve (no harvest)",40,407.106
"MI","reserve (no harvest)",50,411.073
"MI","reserve (no harvest)",60,410.778
"MI","reserve (no harvest)",70,406.611
"MI","reserve (no harvest)",80,398.229
"MI","reserve (no harvest)",90,387.337
"MI","reserve (no harvest)",100,374.265
"MN","reserve (no harvest)",0,220.244
"MN","reserve (no harvest)",10,242.769
"MN","reserve (no harvest)",20,261.188
"MN","reserve (no harvest)",30,273.649
"MN","reserve (no harvest)",40,281.57
"MN","reserve (no harvest)",50,285.639
"MN","reserve (no harvest)",60,285.819
"MN","reserve (no harvest)",70,283.242
"MN","reserve (no harvest)",80,278.711
"MN","reserve (no harvest)",90,272.455
"MN","reserve (no harvest)",100,264.319
"MO","reserve (no harvest)",0,350.802
"MO","reserve (no harvest)",10,372.634
"MO","reserve (no harvest)",20,388.818
"MO","reserve (no harvest)",30,399.751
"MO","reserve (no harvest)",40,406.066
"MO","reserve (no harvest)",50,408.289
"MO","reserve (no harvest)",60,407.126
"MO","reserve (no harvest)",70,403.302
"MO","reserve (no harvest)",80,398.003
"MO","reserve (no harvest)",90,391.724
"MO","reserve (no harvest)",100,384.83
"MS","reserve (no harvest)",0,285.933
"MS","reserve (no harvest)",10,360.553
"MS","reserve (no harvest)",20,417.615
"MS","reserve (no harvest)",30,459.115
"MS","reserve (no harvest)",40,488.564
"MS","reserve (no harvest)",50,505.241
"MS","reserve (no harvest)",60,509.029
"MS","reserve (no harvest)",70,501.851
"MS","reserve (no harvest)",80,487.783
"MS","reserve (no harvest)",90,471.184
"MS","reserve (no harvest)",100,454.431
"MT","reserve (no harvest)",0,343.303
"MT","reserve (no harvest)",10,363.158
"MT","reserve (no harvest)",20,379.996
"MT","reserve (no harvest)",30,393.69
"MT","reserve (no harvest)",40,404.516
"MT","reserve (no harvest)",50,412.57
"MT","reserve (no harvest)",60,417.684
"MT","reserve (no harvest)",70,420.11
"MT","reserve (no harvest)",80,420.397
"MT","reserve (no harvest)",90,418.653
"MT","reserve (no harvest)",100,415.494
"NC","reserve (no harvest)",0,288.446
"NC","reserve (no harvest)",10,342.953
"NC","reserve (no harvest)",20,388.272
"NC","reserve (no harvest)",30,422.949
"NC","reserve (no harvest)",40,448.227
"NC","reserve (no harvest)",50,465.317
"NC","reserve (no harvest)",60,472.736
"NC","reserve (no harvest)",70,471.975
"NC","reserve (no harvest)",80,464.207
"NC","reserve (no harvest)",90,449.728
"NC","reserve (no harvest)",100,429.141
"ND","reserve (no harvest)",0,5.624
"ND","reserve (no harvest)",10,6.204
"ND","reserve (no harvest)",20,6.721
"ND","reserve (no harvest)",30,7.182
"ND","reserve (no harvest)",40,7.589
"ND","reserve (no harvest)",50,7.921
"ND","reserve (no harvest)",60,8.115
"ND","reserve (no harvest)",70,8.118
"ND","reserve (no harvest)",80,8.001
"ND","reserve (no harvest)",90,7.851
"ND","reserve (no harvest)",100,7.682
"NE","reserve (no harvest)",0,10.24
"NE","reserve (no harvest)",10,10.755
"NE","reserve (no harvest)",20,10.968
"NE","reserve (no harvest)",30,11.013
"NE","reserve (no harvest)",40,10.738
"NE","reserve (no harvest)",50,10.533
"NE","reserve (no harvest)",60,10.38
"NE","reserve (no harvest)",70,10.079
"NE","reserve (no harvest)",80,9.87
